"","Name","Location","longitude","latitude","Description","More Info","Length.of.PC","Opening.Hours","Lighting.Hours","Accessibility"
"11","Khatib Bongsu Park Connector","Yishun Ave 2 Near Lower Seletar Reservoir Park","103.8296","1.410527","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"12","Yishun Park Connector","Yishun Ave 2 Near Khatib Vale","103.8348","1.423200","The Yishun Park Connector links the Khatib Bongsu Park Connector to the Canberra Park Connector, passing through the Simpang Kiri Park Connector and Canberra-Sembawang Park Connector, and running by Yishun Swimming Complex.","Yishun Park Connector starts at Yishun Central and runs along Yishun Ave 2 before ending at Canberra Link",NA,NA,NA,NA
"13","Khatib Bongsu Park Connector","Yishun Ave 2 Near Khatib MRT","103.8327","1.417444","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"14","Yishun Park Connector","Yishun Ave 2 Near Yishun MRT","103.8347","1.429506","The Yishun Park Connector links the Khatib Bongsu Park Connector to the Canberra Park Connector, passing through the Simpang Kiri Park Connector and Canberra-Sembawang Park Connector, and running by Yishun Swimming Complex.","Yishun Park Connector starts at Yishun Central and runs along Yishun Ave 2 before ending at Canberra Link",NA,NA,NA,NA
"15","Khatib Bongsu Park Connector","Yishun Ave 2 Near Nee Soon South NPP","103.8336","1.418305","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"16","Yishun Park Connector","Yishun Ave 2 Near North Point Shopping Centre","103.8347","1.429506","The Yishun Park Connector links the Khatib Bongsu Park Connector to the Canberra Park Connector, passing through the Simpang Kiri Park Connector and Canberra-Sembawang Park Connector, and running by Yishun Swimming Complex.","Yishun Park Connector starts at Yishun Central and runs along Yishun Ave 2 before ending at Canberra Link",NA,NA,NA,NA
"17","Khatib Bongsu Park Connector","Yishun Ave 2 Near Yishun Swimming Complex","103.8347","1.422647","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"18","Yishun Park Connector","Yishun Ave 2 Near Chu Siang Tong Temple","103.8345","1.434689","The Yishun Park Connector links the Khatib Bongsu Park Connector to the Canberra Park Connector, passing through the Simpang Kiri Park Connector and Canberra-Sembawang Park Connector, and running by Yishun Swimming Complex.","Yishun Park Connector starts at Yishun Central and runs along Yishun Ave 2 before ending at Canberra Link",NA,NA,NA,NA
"19","Yishun Park Connector","Yishun Ave 2 Near Eight Courtyards Estate","103.8326","1.438331","The Yishun Park Connector links the Khatib Bongsu Park Connector to the Canberra Park Connector, passing through the Simpang Kiri Park Connector and Canberra-Sembawang Park Connector, and running by Yishun Swimming Complex.","Yishun Park Connector starts at Yishun Central and runs along Yishun Ave 2 before ending at Canberra Link",NA,NA,NA,NA
"20","Khatib Bongsu Park Connector","Yishun Ave 6","103.8443","1.433848","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"21","Khatib Bongsu Park Connector","Yishun Central Near Khoo Teck Puat Hospital","103.8400","1.424310","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"22","Khatib Bongsu Park Connector","Yishun Central","103.8409","1.427078","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"23","Khatib Bongsu Park Connector","Yishun Ring Road","103.8436","1.431309","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm to 7.00am",NA
"24","Jurong Park Connector","Yuan Ching Rd","103.7213","1.342473","Starting from Pan-Island Expressway (PIE), near the Jurong West Street 42 estates, the Jurong Park Connector stretches across the expressway to Ayer-Rajah Expressway (AYE) and Toh Guan Road. Visitors can opt to take the route leading to Jurong East Central, which links to Ulu Pandan Park Connector near Toh Guan Road, or head towards Yuan Ching Road to reach the AYE. 
Cycle, jog or take a leisurely stroll along the linear pathway and enjoy the beauty of the lush greenery and the breath-taking scenery of the surroundings. Take in the aroma of freshly baked biscuits from the Khong Guan Factory as you pass the row of factories between Jalan Boon Lay and Enterprise Road.","Jurong Park Connector starts from Pan-Island Expressway (PIE), near the Jurong West Street 42 estates. It stretches from PIE all the way to Ayer-Rajah Expressway (AYE) and Toh Guan Road.","9.4 km","24 hours daily","7.00pm to 7.00am",NA
"25","Jurong West Park Connector","Yunnan Crescent","103.6933","1.337555","Extending from Boon Lay Way (across Jurong Central Park) to Jurong West Street 93, the Jurong West Park Connector links nearby residents to Jurong Central Park, Boon Lay Bus Terminal, Boon Lay MRT station and Pioneer MRT station. Running through residential estates, it is great for joggers looking for a short run around the neighbourhood and is ideal for other outdoor activities such as cycling, strolling and dog-walking.Alternatively, make your way to SAFRA Jurong, located at the end of the Jurong West Park Connector along Boon Lay Way. You may also head to the Jurong West Sports Centre where there are multiple sporting facilities you can use. After a fulfilling workout, head to Jurong Point where a variety of eateries, cafes, and shops are available. The Jurong West Park Connector forms part of the Western Adventure Loop, linking visitors to various park connectors, parks and nature reserves.","Jurong West PC starts from Boon Lay Way (across Jurong Central Park) and runs along Jurong West Street 62 and Jurong West Street 64, before ending at Jurong West street 93","2.2 km","24 hours daily","7.00pm to 7.00am",NA
"26","Alexandra Park Connector","Zion Road","103.8319","1.291932","A continuation of Alexandra Canal Linear Park, the Alexandra Park Connector stretches from Tanglin Road to Zion Road. This urban Park Connector passes by various condominiums, giving users stunning views of the surrounding high-rise buildings and fantastic architectural details. Visitors using the Park Connector can stop by Valley Point Shopping Centre, which is located along Delta Road, to rest their feet and settle down with a nice drink or to just pick up a quick meal. 
Alternatively, drop by Great World City Shopping Centre and Zion Riverside Food Centre at the end of the Park Connector. Kim Seng Promenade is yet another option, located behind Great World City Shopping Centre.","Alexandra Park Connector starts at Tanglin Road and runs along Alexandra Canal before ending at Zion Road.","1.7 km","24 hours daily","7.00pm to 7.00am","Alexandra Park Connector (From Tanglin Road to Delta Road stretch) not accessible to inline-skaters"
"27","Ulu Pandan Park Connector","Toh Guan Road East","103.7488","1.336517","Starting from Commonwealth Ave West, Ulu Pandan Park Connector runs through the Ghim Moh estates, Dover MRT station and the Holland Grove estates. Crossing Clementi Road, it links back to cut across the Clementi and Sunset estates, before leading you towards Ayer-Rajah Expressway (AYE). Thereafter, continue to follow the Ulu Pandan Park Connector up north and it will eventually lead you to the Pan Island Expressway (PIE), completing the 7.1KM walk.Keep your eyes and ears peeled for the Red-Capped Woodpeckers, Kingfishers, as well as the White Egrets that might dart into the canal for a drink. Try to catch sight of the tall Grey Heron (Andrea cinerea) that wades slowly in the shallow waters of Sungei Ulu Pandan while using its bill to prey on fish. You might also catch sight of the magnificent Purple Neck Heron perching on the opposite bank of Sungei Ulu Pandan. Certain sections along the Park Connector are covered in lush greenery, providing a rustic charm. During the flowering season of Tabebuia rosea, visitors will be welcomed by the colourful sight of flowering trees such as Callerya atropurpurea and Saraca thaipingensis, which features yellow flower blooms on its tree trunk and branches.","Ulu Pandan Park Connector starts at Commonwealth Ave West and runs along the Sungei Ulu Pandan Canal before ending at Pan Island Expressway.","7.1 km","24 hours daily","7.00pm to 7.00am","Wheelchairs able to access from the Elevated PC at International Business Park, Wheelchair users are able to access from the Ghim Moh Link estate. By MRT Alight at Buona Vista Station Exit C or Dover Station"
"28","Canberra-Sembawang Park Connector","Tuah Road","103.8362","1.458926","Linking Canberra Link to Tuah Road via Sembawang Road, the Canberra-Sembawang Park Connector runs along private residential estates to join Sembawang Park, a popular fishing ground.                 Besides featuring a wide variety of fish, the park also has one of the few natural beaches found in Singapore. Level and smooth, the Canberra-Sembawang Park Connector is suitable for joggers looking for a short and comfortable run.","The Canberra-Sembawang Park Connector starts at Canberra Link and runs along Sembawang road before ending at Tuah Road.","1.6 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"29","Pandan Gardens Park Connector","Ulu Pandan Elevated PC Near Sheng Hong Temple","103.7511","1.320701","Extending from West Coast Road to Ulu Pandan Park Connector Bridge, Pandan Gardens Park Connector runs through residential areas and links to the Pandan Reservoir and Pandan Reservoir Fitness Corner. It is a great place for joggers who want to enjoy a short and comfortable run or even amateur skaters looking for relatively flat terrains. Pandan Garden Park Connector also joins the Ulu Pandan Park Connector via Singapore’s first elevated Park Connector bridge (Ulu Pandan Park Connector Bridge).","Pandan Gardens Park Connector starts at West Coast Road and ends at Ulu Pandan Park Connector Bridge.","0.4km","24 hours daily","7.00pm-7.00am",NA
"30","Ulu Pandan Park Connector","Ulu Pandan Elevated PC Near AYE","103.7522","1.322146","Starting from Commonwealth Ave West, Ulu Pandan Park Connector runs through the Ghim Moh estates, Dover MRT station and the Holland Grove estates. Crossing Clementi Road, it links back to cut across the Clementi and Sunset estates, before leading you towards Ayer-Rajah Expressway (AYE). Thereafter, continue to follow the Ulu Pandan Park Connector up north and it will eventually lead you to the Pan Island Expressway (PIE), completing the 7.1KM walk.Keep your eyes and ears peeled for the Red-Capped Woodpeckers, Kingfishers, as well as the White Egrets that might dart into the canal for a drink. Try to catch sight of the tall Grey Heron (Andrea cinerea) that wades slowly in the shallow waters of Sungei Ulu Pandan while using its bill to prey on fish. You might also catch sight of the magnificent Purple Neck Heron perching on the opposite bank of Sungei Ulu Pandan. Certain sections along the Park Connector are covered in lush greenery, providing a rustic charm. During the flowering season of Tabebuia rosea, visitors will be welcomed by the colourful sight of flowering trees such as Callerya atropurpurea and Saraca thaipingensis, which features yellow flower blooms on its tree trunk and branches.","Ulu Pandan Park Connector starts at Commonwealth Ave West and runs along the Sungei Ulu Pandan Canal before ending at Pan Island Expressway.","7.1 km","24 hours daily","7.00pm to 7.00am","Wheelchairs able to access from the Elevated PC at International Business Park, Wheelchair users are able to access from the Ghim Moh Link estate. By MRT Alight at Buona Vista Station Exit C or Dover Station"
"31","Kallang Park Connector","Upper Boon Keng Rd","103.8694","1.313583","Stretching along the Kallang River, the Kallang Park Connector links Bishan-Ang Mo Kio Park to Kallang Riverside Park where you have the chance to see foraging birds, monitor lizards and squirrels along the riverbank. It takes you through several residential estates in the Central region – Bishan, Toa Payoh, Potong Pasir, Serangoon, Bendemeer, Upper Boon Keng and Kallang. 
Enjoy the lush greenery at Kolam Ayer Waterfront, part of PUB’s Active, Beautiful, Clean Waters programme, along Kallang River. This park connector also meets Whampoa Park Connector from Bendemeer Road, providing you with easy accessibility to Toa Payoh Town Park. To facilitate connectivity and create a more seamless walking and cycling experience, URA will be carrying out infrastructure improvements along the Kallang Park Connector from Q3 2021 to Q2 2023.Improvements at other crossings (Kallang Bahru and PIE) will be implemented at a later date. For more information, please visit URA's page.","Kallang Park Connector starts at Bishan Road and runs along Kallang River before ending at Sims Ave","7.87 km","24 hours daily","7.00pm to 7.00am","Users will have to cross four overhead bridges over Braddell Road, PIE, Serangoon Road and Bendemeer Road and some non-barrier free crossing across Kallang River and road junctions. Cyclist may push or/and carry their bicycles up the bridges and steps."
"32","Bedok Park Connector","Upper Changi Road East","103.9520","1.330282","Starting at Bedok Reservoir Park near Jalan Lembah Bedok, Bedok Park Connector ends at the underpass behind Bedok Camp, in the direction of East Coast Park. Here, you can enjoy scenic views of Bedok Reservoir along the park connector, which also provides an alternative route linking you to East Coast Park from Bedok Reservoir Park or vice versa. Our Park Connector Network Pit Stop at East Coast Park Area G offers you two recreational options – cycling or roller blading.  Park Connector Network Pit Stop: East Coast Park Area G1  Address: 1490 East Coast Parkway  Opening Hours:  ","Bedok Park Connector starts at Bedok Reservoir Park and runs across the PIE, Upper Changi Road, Upper Changi Road East, Bedok junction before ending at East Coast Park Area G.  ","6.0 km","24 hours daily","7.00pm to 7.00am",NA
"33","Serangoon Park Connector","Upper Serangoon Road","103.9036","1.379712","Running along Serangoon Reservoir and Sg Pinang, the Serangoon Park Connector is a popular recreational corridor amongst residents living in the vicinity. An established route to Punggol Park, it joins directly to Sungei Serangoon Park Connector via a footbridge across Sg Pinang. Nature lovers will delight in the high biodiversity found here, including the Grey Heron, Little Egret, and conspicuous Collared and White-throated Kingfisher.","Serangoon Park Connector starts at Tampines Road and runs along Hougang Ave 7 and Buangkok Drive before ending at the junction of Sengkang East Road and Buangkok Green.","4.2 km","24 hours daily","7.00pm to 7.00am",NA
"34","Serangoon Park Connector","Upper Serangoon View","103.9027","1.373209","Running along Serangoon Reservoir and Sg Pinang, the Serangoon Park Connector is a popular recreational corridor amongst residents living in the vicinity. An established route to Punggol Park, it joins directly to Sungei Serangoon Park Connector via a footbridge across Sg Pinang. Nature lovers will delight in the high biodiversity found here, including the Grey Heron, Little Egret, and conspicuous Collared and White-throated Kingfisher.","Serangoon Park Connector starts at Tampines Road and runs along Hougang Ave 7 and Buangkok Drive before ending at the junction of Sengkang East Road and Buangkok Green.","4.2 km","24 hours daily","7.00pm to 7.00am",NA
"35","Choa Chu Kang North Park Connector","Verde View","103.7521","1.393126","The 5.4 km Choa Chu Kang Park Connector links Choa Chu Kang Park to Bukit Batok Town Park near Bukit Gombak MRT station via the heartlands of Choa Chu Kang neighbourhood. Designed for cycling, jogging and other outdoor activities such as strolling, dog-walking and skating, it is a popular route for recreational activities for nearby residents to. Nature lovers can look forward to the 1 km scenic stretch along Brickland Road, which is decorated with lush greenery and bright and colourful flowering plants that bloom all year round. After a fulfilling workout, visitors can stop by Choa Chu Kang Central to enjoy the variety of eateries, cafes, restrooms and shopping areas available. Alternatively, fitness enthusiasts can use the sports facilities available at the Bukit Gombak stadium and sports hall, situated next to the Choa Chu Kang park connector near Bukit Gombak MRT station.","Choa Chu Kang Park Connector starts at Choa Chu Kang Drive.  It runs along Choa Chu Kang Ave 4, Ave 1, Ave 3, Brickland Rd and ends at Bukit Batok West Ave 5.","5.4km","24 hours daily","7.00pm-7.00am",NA
"36","Choa Chu Kang North Park Connector","Verde Walk","103.7509","1.392633","The 5.4 km Choa Chu Kang Park Connector links Choa Chu Kang Park to Bukit Batok Town Park near Bukit Gombak MRT station via the heartlands of Choa Chu Kang neighbourhood. Designed for cycling, jogging and other outdoor activities such as strolling, dog-walking and skating, it is a popular route for recreational activities for nearby residents to. Nature lovers can look forward to the 1 km scenic stretch along Brickland Road, which is decorated with lush greenery and bright and colourful flowering plants that bloom all year round. After a fulfilling workout, visitors can stop by Choa Chu Kang Central to enjoy the variety of eateries, cafes, restrooms and shopping areas available. Alternatively, fitness enthusiasts can use the sports facilities available at the Bukit Gombak stadium and sports hall, situated next to the Choa Chu Kang park connector near Bukit Gombak MRT station.","Choa Chu Kang Park Connector starts at Choa Chu Kang Drive.  It runs along Choa Chu Kang Ave 4, Ave 1, Ave 3, Brickland Rd and ends at Bukit Batok West Ave 5.","5.4km","24 hours daily","7.00pm-7.00am",NA
"37","West Coast Park Connector","West Coast Highway","103.7625","1.301234","Running through residential areas and schools, the West Coast Park Connector links Pandan Reservoir and Pandan Reservoir Fitness Corner with West Coast Park, and leads to Clementi Woods Park. Level and smooth, it is an ideal cycling route for amateur cyclists looking to travel from Pandan Gardens estate to the West Coast estate. Eagles have also been spotted soaring in the skies above this stretch. With its relatively flat terrain, the West Coast Park Connector is also suitable for leisure joggers seeking a comfortable run or amateur skaters looking to hone their skating skills.","Ulu Pandan Park Connector starts West Coast Park and runs along West Coast Road before ending at Pandan Gardens Park Connector","3.1 km","24 hours daily","7.00pm to 7.00am",NA
"38","West Coast Park Connector","West Coast Link","103.7634","1.299072","Running through residential areas and schools, the West Coast Park Connector links Pandan Reservoir and Pandan Reservoir Fitness Corner with West Coast Park, and leads to Clementi Woods Park. Level and smooth, it is an ideal cycling route for amateur cyclists looking to travel from Pandan Gardens estate to the West Coast estate. Eagles have also been spotted soaring in the skies above this stretch. With its relatively flat terrain, the West Coast Park Connector is also suitable for leisure joggers seeking a comfortable run or amateur skaters looking to hone their skating skills.","Ulu Pandan Park Connector starts West Coast Park and runs along West Coast Road before ending at Pandan Gardens Park Connector","3.1 km","24 hours daily","7.00pm to 7.00am",NA
"39","West Coast Park Connector","West Coast Road Opp. Pandan Reservoir","103.7483","1.318103","Running through residential areas and schools, the West Coast Park Connector links Pandan Reservoir and Pandan Reservoir Fitness Corner with West Coast Park, and leads to Clementi Woods Park. Level and smooth, it is an ideal cycling route for amateur cyclists looking to travel from Pandan Gardens estate to the West Coast estate. Eagles have also been spotted soaring in the skies above this stretch. With its relatively flat terrain, the West Coast Park Connector is also suitable for leisure joggers seeking a comfortable run or amateur skaters looking to hone their skating skills.","Ulu Pandan Park Connector starts West Coast Park and runs along West Coast Road before ending at Pandan Gardens Park Connector","3.1 km","24 hours daily","7.00pm to 7.00am",NA
"40","Ang Mo Kio Avenue 5 Park Connector","Ang Mo Kio Drive","103.8479","1.376905","Ang Mo Kio Ave 5 Park Connector starts at the junction of Ang Mo Kio Ave 5 and Ang Mo Kio Ave 6, and ends at Yio Chu Kang Road. It stretches along Ang Mo Kio Ave 5 passing through various educational institutions such as Anderson Junior College, Nanyang Polytechnic and Ang Mo Kio ITE College. Through this park connector, you are linked to Buangkok estate and further northeast towards Punggol Park, Punggol Waterway Park and Punggol Point Park, located along the scenic North Eastern Riverine Loop.","Ang Mo Kio Ave 5 Park Connector starts at cross junction of Ang Mo Kio Ave 6 and Ang Mo Kio Ave 5 and runs along Ang Mo Kio Ave 5 before ending at Yio Chu Kang Road","4.01 km","24 hours daily","7.00pm to 7.00am","Wheelchair accessible"
"41","Ang Mo Kio Avenue 5 Park Connector","Luxus Hill Road","103.8634","1.378134","Ang Mo Kio Ave 5 Park Connector starts at the junction of Ang Mo Kio Ave 5 and Ang Mo Kio Ave 6, and ends at Yio Chu Kang Road. It stretches along Ang Mo Kio Ave 5 passing through various educational institutions such as Anderson Junior College, Nanyang Polytechnic and Ang Mo Kio ITE College. Through this park connector, you are linked to Buangkok estate and further northeast towards Punggol Park, Punggol Waterway Park and Punggol Point Park, located along the scenic North Eastern Riverine Loop.","Ang Mo Kio Ave 5 Park Connector starts at cross junction of Ang Mo Kio Ave 6 and Ang Mo Kio Ave 5 and runs along Ang Mo Kio Ave 5 before ending at Yio Chu Kang Road","4.01 km","24 hours daily","7.00pm to 7.00am","Wheelchair accessible"
"42","Jalan Pelikat Park Connector","Arozoo Lane","103.8830","1.353354","Jalan Pelikat Park Connector stretches from Kampong Sireh to Hougang Ave 3, connecting Upper Serangoon to Hougang. It serves as a recreation/exercise area for both private and public residential areas in between the two estates. ","Jalan Pelikat Park Connector starts at Kg Sireh runs along Jalan Pelikat and Hougang Street 22 before ending at Hougang Ave 3.","1.49 km","24 hours daily","7.00pm to 7.00am","Wheelchair accessible"
